"Id","StartDate","EnterpriseNumber"
"9.000.134.112",03-01-1962,"0404.609.467"
"9.000.134.211",22-05-1967,"0404.616.197"
"9.000.134.310",01-01-1968,"0404.623.127"
"9.000.134.706",01-01-1968,"0404.644.309"
"9.000.134.805",01-01-1968,"0404.647.673"
"9.000.134.904",01-01-1968,"0404.654.801"
"9.000.135.003",22-09-1969,"0404.657.274"
"9.000.135.102",01-01-1968,"0404.685.681"
"9.000.135.397",31-12-1967,"0404.714.484"
"9.000.135.496",01-01-1968,"0404.714.979"
"9.000.136.288",01-01-1968,"0404.750.514"
"9.000.136.387",01-01-1968,"0404.755.363"
"9.000.136.486",01-01-1968,"0404.755.561"
"9.000.136.684",01-01-1968,"0404.758.432"
"9.000.136.882",01-01-1968,"0404.765.855"
"9.000.137.377",01-01-1968,"0404.771.991"
"9.000.137.476",01-01-1968,"0404.772.288"
"9.000.137.674",01-01-1968,"0404.775.060"
"9.000.137.773",01-01-1968,"0404.775.852"
"9.000.138.169",01-01-1968,"0404.778.921"
"9.000.138.466",01-01-1968,"0404.786.542"
"9.000.138.565",01-01-1968,"0404.786.839"
"9.000.139.159",01-01-1968,"0404.800.893"
"9.000.139.258",01-01-1968,"0404.801.784"
"9.000.139.456",01-01-1968,"0404.806.932"
"9.000.139.951",01-01-1968,"0404.831.676"
"9.000.140.545",19-03-1929,"0404.852.660"
"9.000.140.644",01-01-1929,"0404.859.687"
"9.000.140.743",01-10-1926,"0404.863.548"
"9.000.141.139",01-01-1968,"0404.902.645"
"9.000.141.238",01-01-1968,"0404.904.328"
"9.000.141.337",01-01-1968,"0404.916.996"
"9.000.141.931",20-11-1967,"0404.981.235"
"9.000.142.327",01-01-1968,"0405.016.471"
"9.000.142.426",01-01-1968,"0405.039.237"
"9.000.142.921",01-01-1968,"0405.109.414"
"9.000.143.119",11-03-1968,"0405.113.174"
"9.000.144.010",01-01-1968,"0405.215.223"
"9.000.144.208",01-01-1968,"0405.308.758"
"9.000.144.307",01-01-1967,"0405.308.857"
"9.000.144.406",01-01-1968,"0405.309.055"
"9.000.144.604",01-01-1968,"0405.309.253"
"9.000.144.802",09-05-1969,"0405.311.629"
"9.000.144.901",01-01-1968,"0405.314.894"
"9.000.145.097",28-04-1969,"0405.326.277"
"9.000.145.394",16-11-1965,"0405.352.112"
"9.000.145.493",01-01-1968,"0405.358.842"
"9.000.146.087",05-10-1922,"0405.476.232"
